id,name,category,gender,followers,platform
1,Influencer_1,Wellness,Female,161730,Twitter
2,Influencer_2,Lifestyle,Male,351622,Twitter
3,Influencer_3,Fitness,Female,389681,Instagram
4,Influencer_4,Wellness,Female,154503,Instagram
5,Influencer_5,Wellness,Female,135523,Twitter
6,Influencer_6,Lifestyle,Female,7747,YouTube
7,Influencer_7,Fitness,Female,128855,Facebook
8,Influencer_8,Fitness,Female,457366,Instagram
9,Influencer_9,Wellness,Female,70725,Facebook
10,Influencer_10,Nutrition,Female,134981,YouTube
11,Influencer_11,Wellness,Male,89654,YouTube
12,Influencer_12,Wellness,Male,433989,YouTube
13,Influencer_13,Wellness,Female,386490,Instagram
14,Influencer_14,Wellness,Female,72435,YouTube
15,Influencer_15,Lifestyle,Female,324030,Instagram
16,Influencer_16,Fitness,Male,333947,YouTube
17,Influencer_17,Lifestyle,Female,36551,Facebook
18,Influencer_18,Lifestyle,Male,383360,Facebook
19,Influencer_19,Lifestyle,Male,278538,Twitter
20,Influencer_20,Wellness,Male,336236,Facebook
